estimated_pickup_latitude,estimated_pickup_longitude,estimated_dropoff_latitude,estimated_dropoff_longitude,pickup_hex8,dropoff_hex8,pickup_centroid_lat,pickup_centroid_lon,dropoff_centroid_lat,dropoff_centroid_lon
23.74534376,90.44832051,23.7651263,90.42809371,883cf13923fffff,883cf1396bfffff,23.743889768155512,90.450314850114,23.766826873327872,90.42784474333793
23.71349235,90.46925347,23.75381557,90.39253727,883cf1768dfffff,883cf10cbdfffff,23.713679445588358,90.46752319874398,23.753157519825887,90.3886449653357
23.75449346,90.33391222,23.73890297,90.38555542,883cf10c31fffff,883cf17649fffff,23.754852954883404,90.33128766472042,23.73834491222074,90.3876911389497
23.69338899,90.48062336,23.78544562,90.39975146,883cf176a3fffff,883cf10c99fffff,23.691014228609234,90.48042777386294,23.782492961011723,90.40011446771334
23.69615671,90.50859779,23.80072697,90.35451041,883cf176b3fffff,883cf10ea3fffff,23.69769503209525,90.5048114096375,23.798714458563694,90.35326159654097
23.72084261,90.36710571,23.77259961,90.42530076,883cf10d91fffff,883cf13945fffff,23.72409883604131,90.3676192205554,23.774375128911405,90.42354165830746
23.72435541,90.44565688,23.78041,90.41673,883cf17613fffff,883cf1394dfffff,23.721811020479535,90.44409869880425,23.781922670213095,90.41923841308095
23.69083276,90.48851475,23.73299226,90.41258343,883cf176b5fffff,883cf17655fffff,23.690722764340446,90.48998904890135,23.730224356130343,90.41111421491782
23.82362673,90.35241611,23.78283,90.3426367,883cf10e81fffff,883cf10c1bfffff,23.821060800751575,90.34990916450869,23.784189472584718,90.3427493651436
23.69279783,90.48513919,23.765413,90.404353,883cf176a3fffff,883cf10c97fffff,23.691014228609234,90.48042777386294,23.767398775847976,90.40872125819085
23.7220692,90.36373987,23.74184544,90.38842309,883cf10d91fffff,883cf17649fffff,23.72409883604131,90.3676192205554,23.73834491222074,90.3876911389497
23.693652,90.4807,23.78369195,90.33834854,883cf176a3fffff,883cf10c1bfffff,23.691014228609234,90.48042777386294,23.784189472584718,90.3427493651436
23.72239013,90.37042614,23.7339508,90.39288691,883cf10d91fffff,883cf17641fffff,23.72409883604131,90.3676192205554,23.730795504536186,90.39199411325372
23.69357842,90.4803662,23.73162651,90.425747,883cf176a3fffff,883cf17619fffff,23.691014228609234,90.48042777386294,23.729650818507185,90.43023543327534
23.78543347,90.3608188,23.76058388,90.3486557,883cf10cc1fffff,883cf10cedfffff,23.783626361906393,90.36186993958377,23.76183625547636,90.34610184166168
23.70565215,90.39699879,23.751325,90.392756,883cf17663fffff,883cf10cbdfffff,23.708428889179533,90.39534278989989,23.753157519825887,90.3886449653357
23.72987819,90.44701494,23.773002,90.424752,883cf176cdfffff,883cf13945fffff,23.729074891381416,90.44935776416449,23.774375128911405,90.42354165830746
23.70351317,90.41123228,23.73899981,90.37250656,883cf1762bfffff,883cf10ca5fffff,23.700590743331738,90.4092044120915,23.738912865528654,90.368571929842
23.7304745,90.4462569,23.7937015,90.41431907,883cf176cdfffff,883cf13b27fffff,23.729074891381416,90.44935776416449,23.789469496941923,90.41493500769805
23.69828426,90.46789192,23.8275878,90.4273564,883cf176a9fffff,883cf13b1dfffff,23.6988604785004,90.46656529326138,23.82605481057853,90.43166958137904
23.70497186,90.47197122,23.72991303,90.40669364,883cf17685fffff,883cf17655fffff,23.706125084684267,90.47182488445456,23.730224356130343,90.41111421491782
23.693613,90.480371,23.73535376,90.3838644,883cf176a3fffff,883cf1764dfffff,23.691014228609234,90.48042777386294,23.731080182872354,90.38243448248184
23.69350883,90.48040509,23.727988,90.40902606,883cf176a3fffff,883cf17655fffff,23.691014228609234,90.48042777386294,23.730224356130343,90.41111421491782
23.75144557,90.45212958,23.732524,90.417336,883cf1393dfffff,883cf17657fffff,23.751152315738523,90.45557456807809,23.72993788598881,90.42067468476998
23.71670933,90.46859298,23.70585414,90.41007355,883cf1768dfffff,883cf17607fffff,23.713679445588358,90.46752319874398,23.707856519272113,90.41446164400533
23.70204255,90.47562439,23.7271877,90.3967167,883cf176abfffff,883cf17647fffff,23.6985700122603,90.47612640950739,23.72324538351322,90.39629692775954
23.71161,90.469852,23.72733065,90.42003393,883cf1768dfffff,883cf17657fffff,23.713679445588358,90.46752319874398,23.72993788598881,90.42067468476998
23.72632943,90.36569204,23.73636521,90.38672655,883cf10d91fffff,883cf17649fffff,23.72409883604131,90.3676192205554,23.73834491222074,90.3876911389497
23.69228619,90.49374808,23.8293621,90.41958,883cf176b5fffff,883cf13b0bfffff,23.690722764340446,90.48998904890135,23.826340232581625,90.42210566233307
23.78642289,90.3626598,23.7096866,90.4023685,883cf10cc1fffff,883cf17605fffff,23.783626361906393,90.36186993958377,23.70814300261903,90.40490207721805
23.713677,90.4754017,23.72171054,90.42128015,883cf17681fffff,883cf1761dfffff,23.713389185157926,90.47708482382535,23.722386557230866,90.42497715465107
23.8004333,90.4547794,23.8185949,90.4319298,883cf13865fffff,883cf13b15fffff,23.80313084553871,90.45414418533679,23.818509947651417,90.43597332650423
23.7686,90.3454897,23.75280861,90.37889423,883cf10c17fffff,883cf10cabfffff,23.76938159581303,90.34179788775945,23.753441586408567,90.37908471110562
23.693613,90.480371,23.73688398,90.41018151,883cf176a3fffff,883cf1765dfffff,23.691014228609234,90.48042777386294,23.737774569388762,90.40681146990367
23.79101524,90.44675644,23.83011,90.39093,883cf1395dfffff,883cf13b45fffff,23.78861078027444,90.44362336222055,23.827192901817835,90.39341557982407
23.71590356,90.46990156,23.77846,90.41138,883cf1768dfffff,883cf10c9bfffff,23.713679445588358,90.46752319874398,23.782208114838497,90.40967630072213
23.69481546,90.4899618,23.726253,90.422377,883cf176b5fffff,883cf17657fffff,23.690722764340446,90.48998904890135,23.72993788598881,90.42067468476998
23.70626029,90.49715314,23.750719,90.39059147,883cf176bbfffff,883cf10cbdfffff,23.70525130790892,90.50051023537192,23.753157519825887,90.3886449653357
23.7110391,90.4948484,23.70970162,90.44081021,883cf17695fffff,883cf176edfffff,23.712806872608052,90.49620890013139,23.706993488156282,90.44314201598158
23.6954235,90.5102395,23.7745342,90.3655362,883cf12b65fffff,883cf10cc7fffff,23.69740217810997,90.51437362507579,23.77608124036896,90.36617387184424
